Dia Semana;Data;Inicio;Fim;Tempo;Total dia;;Projeto;Status;;Atividade
Segunda;01/12/25;15:23:00;15:59:00;00:36:00;00:48:00;R$ 36,00;tributario;Finalizado;;14362: Análise de código 
Segunda;01/12/25;16:00:00;16:12:00;00:12:00;;;tributario;Finalizado;;14364: Estimativa de card
;;;;00:00:00;;;;;;
Terça;02/12/25;07:03:00;10:01:00;02:58:00;11:26:00;R$ 514,50;tributario;Finalizado;;14354: Acordos ao serem cancelados então continuando em aberto na tela de Atendimento
Terça;02/12/25;10:02:00;11:18:00;01:16:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Terça;02/12/25;12:30:00;15:04:00;02:34:00;;;tributario;Finalizado;;14354: Acordos ao serem cancelados então continuando em aberto na tela de Atendimento
Terça;02/12/25;15:10:00;18:14:00;03:04:00;;;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Terça;02/12/25;18:26:00;20:00:00;01:34:00;;;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
;;;;00:00:00;;;;;;
Quarta;03/12/25;06:59:00;08:32:00;01:33:00;11:55:00;R$ 536,25;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Quarta;03/12/25;08:35:00;09:30:00;00:55:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quarta;03/12/25;09:31:00;10:53:00;01:22:00;;;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Quarta;03/12/25;10:54:00;11:35:00;00:41:00;;;tributario;Finalizado;;14390: Acordos Cancelados com Parcelas em aberto
Quarta;03/12/25;14:29:00;18:09:00;03:40:00;;;tributario;Pendente;;14397: Baixa de pagmento - Erro 500
Quarta;03/12/25;19:59:00;23:43:00;03:44:00;;;tributario;Finalizado;;14397: Baixa de pagmento - Erro 500
;;;;00:00:00;;;;;;
Quinta;04/12/25;;;00:00:00;00:00:00;R$ 0,00;;;;
;;;;00:00:00;;;;;;
Sexta;05/12/25;07:17:00;09:08:00;01:51:00;06:15:00;R$ 281,25;tributario;Finalizado;;14397: Baixa de pagmento - Erro 500
Sexta;05/12/25;09:10:00;13:34:00;04:24:00;;;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
;;;;00:00:00;;;;;;
Sabado;06/12/25;06:34:00;10:30:00;03:56:00;10:17:00;R$ 462,75;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Sabado;06/12/25;10:50:00;13:33:00;02:43:00;;;tributario;Pendente;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Sabado;06/12/25;15:32:00;18:43:00;03:11:00;;;tributario;Finalizado;;13939: URGENTE, ITBIs Atualização do Proprietário e Propriedades Urbanas 
Sabado;06/12/25;18:43:00;19:10:00;00:27:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
;;;;00:00:00;;;;;;
Domingo;07/12/25;08:50:00;11:44:00;02:54:00;02:54:00;R$ 130,50;tributario;Finalizado;;14449: Baixa Automática
;;;;00:00:00;;;;;;
Segunda;08/12/25;;;00:00:00;00:00:00;R$ 0,00;;;;
;;;;00:00:00;;;;;;
Terça;09/12/25;06:35:00;09:26:00;02:51:00;12:46:00;R$ 574,50;tributario;Pendente;;14326: Registro de Boletos, priorização no momento do registro, com relação a Propriedades Urbanas
Terça;09/12/25;09:29:00;10:08:00;00:39:00;;;tributario;Pendente;;14417: Tributos: Pref. Soure/Pa. Consulta Pagamentos API- NÃO ATUALIZANDO STATUS DO DÉBITO.
Terça;09/12/25;10:09:00;14:01:00;03:52:00;;;tributario;Finalizado;;14449: Baixa Automática
Terça;09/12/25;14:05:00;16:46:00;02:41:00;;;tributario;Pendente;;14478: Novo Filtro Conferência Contábil
Terça;09/12/25;16:46:00;17:26:00;00:40:00;;;tributario;Finalizado;;14362: Análise de código 
Terça;09/12/25;17:27:00;18:56:00;01:29:00;;;tributario;Finalizado;;14478: Novo Filtro Conferência Contábil
Terça;09/12/25;19:05:00;19:39:00;00:34:00;;;tributario;Finalizado;;14362: Análise de código 
;;;;00:00:00;;;;;;
Quarta;10/12/25;07:38:00;08:14:00;00:36:00;09:37:00;R$ 432,75;tributario;Finalizado;;14417: Tributos: Pref. Soure/Pa. Consulta Pagamentos API- NÃO ATUALIZANDO STATUS DO DÉBITO.
Quarta;10/12/25;08:16:00;08:22:00;00:06:00;;;tributario;Pendente;;14326: Registro de Boletos, priorização no momento do registro, com relação a Propriedades Urbanas
Quarta;10/12/25;08:23:00;10:34:00;02:11:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quarta;10/12/25;10:44:00;11:35:00;00:51:00;;;tributario;Finalizado;;14362: Análise de código 
Quarta;10/12/25;11:37:00;12:56:00;01:19:00;;;protocolo;Finalizado;;14423: Analisar trâmites incorretos no Protocolo (Processos 6935/2023 e 7005/2023)
Quarta;10/12/25;14:00:00;14:50:00;00:50:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quarta;10/12/25;14:51:00;18:35:00;03:44:00;;;tributario;Finalizado;;14326: Registro de Boletos, priorização no momento do registro, com relação a Propriedades Urbanas
Quarta;10/12/25;18:39:00;21:47:00;03:08:00;;;tributario;Finalizado;;13689: Certidões de Dívida Ativa, rodar script para atualizar multa, juros 
;;;;00:00:00;;;;;;
Quinta;11/12/25;06:32:00;07:53:00;01:21:00;12:24:00;R$ 558,00;tributario;Finalizado;;13689: Certidões de Dívida Ativa, rodar script para atualizar multa, juros 
Quinta;11/12/25;07:53:00;08:08:00;00:15:00;;;tributario;Finalizado;;14362: Análise de código 
Quinta;11/12/25;09:13:00;13:25:00;04:12:00;;;tributario;Finalizado;;14326: Registro de Boletos, priorização no momento do registro, com relação a Propriedades Urbanas
Quinta;11/12/25;14:09:00;16:19:00;02:10:00;;;tributario;Pendente;;14492: ARENÁPOLIS-MT - ERRO BAIXAS DE PAGAMENTO-API
Quinta;11/12/25;16:29:00;17:14:00;00:45:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quinta;11/12/25;17:15:00;17:56:00;00:41:00;;;tributario;Finalizado;;14362: Análise de código 
Quinta;11/12/25;18:01:00;20:17:00;02:16:00;;;tributario;Finalizado;;14492: ARENÁPOLIS-MT - ERRO BAIXAS DE PAGAMENTO-API
Quinta;11/12/25;20:19:00;21:03:00;00:44:00;;;tributario;Finalizado;;14362: Análise de código 
;;;;00:00:00;;;;;;
Sexta;12/12/25;06:57:00;08:39:00;01:42:00;05:45:00;R$ 258,75;tributario;Finalizado;;14502: Estorno de Baixa de Pagamentos, demorando muito o processo de conclusão
Sexta;12/12/25;08:39:00;09:04:00;00:25:00;;;tributario;Finalizado;;14362: Análise de código 
Sexta;12/12/25;14:07:00;14:59:00;00:52:00;;;tributario;Finalizado;;14502: Estorno de Baixa de Pagamentos, demorando muito o processo de conclusão
Sexta;12/12/25;15:05:00;15:58:00;00:53:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Sexta;12/12/25;16:00:00;17:53:00;01:53:00;;;tributario;Finalizado;;14419: INTEGRACAO Protocolo X Tributos
;;;;00:00:00;;;;;;
Sabado;13/12/25;07:35:00;08:30:00;00:55:00;12:31:00;R$ 563,25;tributario;Pendente;;12485: Testes Automatizados - Controllers
Sabado;13/12/25;10:18:00;12:51:00;02:33:00;;;tributario;Finalizado;;12485: Testes Automatizados - Controllers
Sabado;13/12/25;12:51:00;13:37:00;00:46:00;;;tributario;Finalizado;;14362: Análise de código 
Sabado;13/12/25;13:38:00;16:10:00;02:32:00;;;tributario;Pendente;;14540: ERRO, na exibição dos dados Integração com Sistemas Externos
Sabado;13/12/25;16:11:00;16:29:00;00:18:00;;;tributario;Finalizado;;14362: Análise de código 
Sabado;13/12/25;16:31:00;19:11:00;02:40:00;;;tributario;Finalizado;;14540: ERRO, na exibição dos dados Integração com Sistemas Externos
Sabado;13/12/25;19:59:00;20:26:00;00:27:00;;;tributario;Finalizado;;14362: Análise de código 
Sabado;13/12/25;20:26:00;22:46:00;02:20:00;;;tributario;Pendente;;12491: Testes Automatizados - Controllers
;;;;00:00:00;;;;;;
Domingo;14/12/25;06:50:00;08:06:00;01:16:00;06:21:00;R$ 285,75;tributario;Finalizado;;12491: Testes Automatizados - Controllers
Domingo;14/12/25;08:06:00;13:11:00;05:05:00;;;tributario;Finalizado;;12492: Testes Automatizados - Controllers
;;;;00:00:00;;;;;;
Segunda;15/12/25;07:27:00;08:41:00;01:14:00;12:58:00;R$ 583,50;tributario;Finalizado;;14492: ARENÁPOLIS-MT - ERRO BAIXAS DE PAGAMENTO-API
Segunda;15/12/25;08:43:00;13:16:00;04:33:00;;;tributario;Finalizado;;14537: Inserir Config. para comportamento da tela de Controle de Similaridade
Segunda;15/12/25;14:04:00;14:58:00;00:54:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Segunda;15/12/25;15:25:00;20:13:00;04:48:00;;;tributario;Pendente;;14429: Analisar duplicidade de débitos – Integração Econômicos / ISS
Segunda;15/12/25;20:24:00;21:53:00;01:29:00;;;tributario;Pendente;;14429: Analisar duplicidade de débitos – Integração Econômicos / ISS
;;;;00:00:00;;;;;;
Terça;16/12/25;06:46:00;08:08:00;01:22:00;14:09:00;R$ 636,75;tributario;Pendente;;14429: Analisar duplicidade de débitos – Integração Econômicos / ISS
Terça;16/12/25;08:11:00;08:36:00;00:25:00;;;tributario;Finalizado;;14362: Análise de código 
Terça;16/12/25;08:37:00;09:09:00;00:32:00;;;tributario;Pendente;;14429: Analisar duplicidade de débitos – Integração Econômicos / ISS
Terça;16/12/25;09:11:00;11:54:00;02:43:00;;;tributario;Finalizado;;14567: Verificar Cobrança de Tarifas
Terça;16/12/25;11:57:00;13:28:00;01:31:00;;;tributario;Finalizado;;14537: Inserir Config. para comportamento da tela de Controle de Similaridade
Terça;16/12/25;14:00:00;15:09:00;01:09:00;;;tributario;Finalizado;;14429: Analisar duplicidade de débitos – Integração Econômicos / ISS
Terça;16/12/25;15:10:00;17:26:00;02:16:00;;;tributario;Pendente;;14551: NOBEPAG, ENVIO EM PARALELO
Terça;16/12/25;17:28:00;17:54:00;00:26:00;;;tributario;Finalizado;;14362: Análise de código 
Terça;16/12/25;17:55:00;17:58:00;00:03:00;;;tributario;Finalizado;;14364: Estimativa de card
Terça;16/12/25;18:01:00;20:14:00;02:13:00;;;tributario;Pendente;;14551: NOBEPAG, ENVIO EM PARALELO
Terça;16/12/25;20:16:00;21:45:00;01:29:00;;;tributario;Finalizado;;14552: NOBEPAG, não gerar o PDF
;;;;00:00:00;;;;;;
Quarta;17/12/25;07:16:00;09:00:00;01:44:00;10:53:00;R$ 489,75;tributario;Pendente;;14551: NOBEPAG, ENVIO EM PARALELO
Quarta;17/12/25;09:02:00;10:17:00;01:15:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quarta;17/12/25;10:27:00;10:57:00;00:30:00;;;tributario;Pendente;;14551: NOBEPAG, ENVIO EM PARALELO
Quarta;17/12/25;11:01:00;11:16:00;00:15:00;;;tributario;Finalizado;;14595: Verificar Cobrança de Tarifas
Quarta;17/12/25;11:19:00;11:48:00;00:29:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quarta;17/12/25;11:49:00;15:17:00;03:28:00;;;tributario;Pendente;;14596: Gerar CNAB para o CDC
Quarta;17/12/25;19:11:00;22:23:00;03:12:00;;;tributario;Pendente;;14596: Gerar CNAB para o CDC
;;;;00:00:00;;;;;;
Quinta;18/12/25;06:33:00;07:13:00;00:40:00;09:28:00;R$ 426,00;tributario;Pendente;;14596: Gerar CNAB para o CDC
Quinta;18/12/25;07:14:00;07:32:00;00:18:00;;;tributario;Finalizado;;14595: Verificar Cobrança de Tarifas
Quinta;18/12/25;07:32:00;07:48:00;00:16:00;;;tributario;Finalizado;;14362: Análise de código 
Quinta;18/12/25;09:10:00;10:11:00;01:01:00;;;tributario;Pendente;;14596: Gerar CNAB para o CDC
Quinta;18/12/25;10:19:00;10:46:00;00:27:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quinta;18/12/25;11:12:00;13:51:00;02:39:00;;;tributario;Pendente;;14596: Gerar CNAB para o CDC
Quinta;18/12/25;14:05:00;14:12:00;00:07:00;;;tributario;Pendente;;14596: Gerar CNAB para o CDC
Quinta;18/12/25;15:04:00;15:21:00;00:17:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Quinta;18/12/25;15:22:00;19:05:00;03:43:00;;;tributario;Finalizado;;14596: Gerar CNAB para o CDC
;;;;00:00:00;;;;;;
Sexta;19/12/25;07:09:00;07:31:00;00:22:00;13:32:00;R$ 609,00;tributario;Finalizado;;14595: Verificar Cobrança de Tarifas
Sexta;19/12/25;07:32:00;08:37:00;01:05:00;;;tributario;Pendente;;14619: Gerar Json para NobePag
Sexta;19/12/25;08:37:00;10:11:00;01:34:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Sexta;19/12/25;10:16:00;11:18:00;01:02:00;;;tributario;Pendente;;14619: Gerar Json para NobePag
Sexta;19/12/25;11:18:00;12:06:00;00:48:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Sexta;19/12/25;14:12:00;14:36:00;00:24:00;;;tributario;Pendente;;14619: Gerar Json para NobePag
Sexta;19/12/25;14:36:00;17:47:00;03:11:00;;;tributario;Finalizado;;14596: Gerar CNAB para o CDC
Sexta;19/12/25;18:03:00;21:29:00;03:26:00;;;tributario;Pendente;;14619: Gerar Json para NobePag
Sexta;19/12/25;21:29:00;23:09:00;01:40:00;;;tributario;Finalizado;;14596: Gerar CNAB para o CDC
;;;;00:00:00;;;;;;
Sabado;20/12/25;06:11:00;11:09:00;04:58:00;12:09:00;R$ 546,75;tributario;Finalizado;;14596: Gerar CNAB para o CDC
Sabado;20/12/25;11:23:00;11:45:00;00:22:00;;;tributario;Finalizado;;14619: Gerar Json para NobePag
Sabado;20/12/25;11:45:00;12:02:00;00:17:00;;;tributario;Finalizado;;14362: Análise de código 
Sabado;20/12/25;12:42:00;14:17:00;01:35:00;;;tributario;Finalizado;;14619: Gerar Json para NobePag
Sabado;20/12/25;14:19:00;19:16:00;04:57:00;;;tributario;Finalizado;;14632: Registrar Boleto Via API - Nobepag
;;;;00:00:00;;;;;;
Domingo;21/12/23;;;00:00:00;00:00:00;R$ 0,00;;;;
;;;;00:00:00;;;;;;
Segunda;22/12/25;06:42:00;07:53:00;01:11:00;05:57:00;R$ 267,75;tributario;Finalizado;;14643: Cnab CRC - Nosso Numero
Segunda;22/12/25;07:56:00;08:12:00;00:16:00;;;tributario;Finalizado;;14595: Verificar Cobrança de Tarifas
Segunda;22/12/25;08:12:00;12:42:00;04:30:00;;;tributario;Finalizado;;14632: Registrar Boleto Via API - Nobepag
;;;;00:00:00;;;;;;
Terça;23/12/25;07:11:00;08:45:00;01:34:00;13:04:00;R$ 588,00;tributario;Finalizado;;14362: Análise de código 
Terça;23/12/25;08:45:00;10:29:00;01:44:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Terça;23/12/25;11:57:00;14:33:00;02:36:00;;;tributario;Finalizado;;14658: Arquivo Remessa Enviar Qtde de Registros
Terça;23/12/25;15:32:00;17:38:00;02:06:00;;;tributario;Finalizado;;14373: Reunião Dezembro/2025
Terça;23/12/25;17:40:00;18:53:00;01:13:00;;;tributario;Finalizado;;14658: Arquivo Remessa Enviar Qtde de Registros
Terça;23/12/25;18:55:00;22:46:00;03:51:00;;;tributario;Finalizado;;14661: FLAG no calculo de tributos CNAE
;;;;00:00:00;;;;;;
Quarta;24/12/25;09:47:00;11:08:00;01:21:00;01:21:00;R$ 60,75;tributario;Finalizado;;14661: FLAG no calculo de tributos CNAE
